axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	968.3183183183183	2	-0.12559353925739614	1.9960161307740833e-09	0
6283185.307179586	1733.5835835835837	2	0.8281957154927868	7.639692695342486e-10	0
6283185.307179586	1524.8748748748749	2	-0.7358511025309322	-1.545723430958097e-09	0
6283185.307179586	1684.884884884885	2	0.8797624203058172	-1.4385131059576569e-09	0
6283185.307179586	2248.3983983983985	1	0.00857710000869294	-1.354207700404604e-09	0
6283185.307179586	1580.5305305305305	1	-0.30918878933284066	-6.082217912023024e-10	0
6283185.307179586	2589.289289289289	1	-0.5550549912048961	5.393999630305377e-10	0
6283185.307179586	1997.947947947948	2	1.3312481538431062	9.298542747246896e-10	1
6283185.307179586	1044.8448448448448	1	-1.547569296071117	-4.0754374702576745e-10	1
6283185.307179586	2951.051051051051	1	0.4694758565392596	7.198302411529084e-10	0
6283185.307179586	627.4274274274275	2	-1.3422138630167209	1.5272765454775044e-09	2
6283185.307179586	2276.226226226226	1	0.2000862450435419	-1.219321784282896e-09	0
6283185.307179586	2589.289289289289	1	-0.8338625064770098	-5.732776496373018e-10	1
6283185.307179586	1427.4774774774776	2	0.6661401169605283	1.102096068604741e-09	0
6283185.307179586	1942.2922922922924	1	-1.412812356745085	8.255483248245779e-10	1
6283185.307179586	1719.6696696696697	2	0.663085354763941	1.4463076068675134e-09	0
6283185.307179586	1378.7787787787788	2	1.4185948349840443	-4.996417414520137e-10	2
6283185.307179586	1545.7457457457458	1	0.5559625818255807	-4.007487574817313e-10	2
6283185.307179586	3660.6606606606606	1	0.5341173234525836	9.902607373637376e-10	0
6283185.307179586	2255.3553553553556	1	1.0287778531708445	-1.9661417468065445e-09	0
6283185.307179586	2568.4184184184187	2	-0.1940804256740194	1.5321393149496152e-10	2
6283185.307179586	1044.8448448448448	2	-1.364454734360157	9.685504205251825e-13	2
6283185.307179586	696.996996996997	2	1.4273555556388442	1.0925349521200768e-09	2
6283185.307179586	2450.1501501501502	1	-1.1813604923432917	1.984147733715499e-09	0
6283185.307179586	2888.4384384384384	1	-0.1986977946710642	1.0991097730448253e-09	0
6283185.307179586	2032.7327327327328	2	-0.361638744699212	7.690868942507818e-10	0
6283185.307179586	2589.289289289289	2	-1.0459219126941122	1.873892638977873e-09	0
