axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1448.3483483483483	2	-1.2877123738574598	-1.1785039014332997e-10	1
6283185.307179586	1288.3383383383384	2	1.1649336325375952	1.0929810535664988e-09	2
6283185.307179586	1190.940940940941	2	0.5340644795094591	3.8070061296185684e-10	2
6283185.307179586	1246.5965965965966	1	1.3149248557241608	-1.4837130863982153e-09	2
6283185.307179586	1274.4244244244244	1	-1.481707246448515	-1.0637856494145749e-09	2
6283185.307179586	1232.6826826826828	1	0.05655306491000722	-1.9380571536859517e-09	0
6283185.307179586	2276.226226226226	1	-0.6394590862385702	1.694415178685948e-09	0
6283185.307179586	919.6196196196197	2	-1.2386721201676152	-1.107747792395688e-09	2
6283185.307179586	2213.613613613614	1	1.3200146542186122	-5.681338800155197e-10	2
6283185.307179586	1392.6926926926926	2	0.5709502298879676	1.3419716524385117e-09	0
6283185.307179586	1483.1331331331332	1	0.5799807110835618	1.5869918274803324e-09	0
6283185.307179586	1775.3253253253254	2	1.2004984268689274	-1.0509815234222023e-09	2
6283185.307179586	2575.3753753753754	1	0.36865416318905964	-1.7882188257644676e-09	0
6283185.307179586	1664.014014014014	1	-1.2490329319851654	1.1787654045421532e-09	2
6283185.307179586	1295.2952952952953	1	1.0296043845957459	1.5248012618969987e-11	2
6283185.307179586	3987.637637637638	2	-0.900830205579055	-5.500389679758961e-11	2
6283185.307179586	2651.901901901902	1	0.826718577266293	7.2428657420426e-10	0
6283185.307179586	2137.087087087087	1	0.4735650428848941	-1.6777276235835097e-09	0
6283185.307179586	1392.6926926926926	2	-0.06350484941974455	1.1728655516818494e-09	0
6283185.307179586	1483.1331331331332	1	0.09925710600782178	-1.956906228961668e-09	0
6283185.307179586	585.6856856856857	1	-1.013592192145576	-1.384426791075944e-09	2
6283185.307179586	1949.2492492492493	2	0.6473782315314716	-1.4210490053109918e-09	0
6283185.307179586	1650.1001001001002	1	0.2510163081184418	1.7269819636638073e-11	2
6283185.307179586	884.8348348348349	1	-1.0605303300696334	-1.638257297604254e-09	0
6283185.307179586	2109.259259259259	1	-1.1526307839754786	-1.8210443844136945e-09	0
6283185.307179586	1538.788788788789	1	0.3099358565370498	-7.701752363750187e-10	0
