axial_trap_freq(MHz)	velocity(m/s)	ion_collided	angleXY(rads)	angleZ(rads)	collision_offset(m)	reorder
0.500000	2938.738739	0	-0.111066	-0.523599	7.515075e-08	2
0.500000	1353.153153	0	0.015867	-0.237999	3.360505e-08	0
0.500000	2160.810811	0	-0.777465	0.174533	-2.625828e-08	2
0.500000	3399.549550	0	-0.047600	0.206266	-3.264060e-08	0
0.500000	2507.657658	0	0.745732	0.206266	-3.247979e-08	0
0.500000	2532.432432	0	-0.936131	1.507330	-1.511955e-07	2
0.500000	1511.711712	1	-0.555332	-1.189997	1.382602e-07	2
0.500000	1987.387387	0	-0.396666	-0.111066	1.824382e-08	0
0.500000	2983.333333	1	-1.412130	-1.253464	1.416363e-07	2
0.500000	1992.342342	0	-0.809198	1.253464	-1.412343e-07	1
0.500000	1169.819820	0	-0.428399	-1.412130	1.486887e-07	2
0.500000	1506.756757	1	0.301466	0.840931	-1.117193e-07	2
0.500000	1486.936937	1	-0.745732	0.460132	-6.493160e-08	0
0.500000	2225.225225	1	-0.999598	1.126531	-1.351676e-07	2
0.500000	3820.720721	0	0.396666	-0.111066	1.802271e-08	0
0.500000	2354.054054	0	0.650532	-1.570796	1.495276e-07	2
0.500000	1600.900901	1	1.380397	-0.809198	1.079269e-07	2
0.500000	1848.648649	1	0.396666	0.523599	-7.525126e-08	2
0.500000	669.369369	1	0.015867	1.253464	-1.442092e-07	2
0.500000	2344.144144	1	-0.809198	1.189997	-1.393456e-07	2
0.500000	2031.981982	0	1.189997	-0.364932	5.374399e-08	2
0.500000	2106.306306	1	-0.777465	0.555332	-8.040040e-08	0
0.500000	2537.387387	0	-0.777465	0.555332	-7.756623e-08	0
0.500000	1472.072072	0	-0.047600	-0.840931	1.120409e-07	2
0.500000	1363.063063	1	1.094797	-1.253464	1.440283e-07	0
0.500000	1754.504505	1	1.570796	0.618799	-8.504874e-08	0
0.500000	822.972973	1	-0.809198	-1.285197	1.453008e-07	1
0.500000	2155.855856	0	-1.348664	0.174533	-2.473064e-08	0
0.500000	2175.675676	1	1.189997	-0.396666	5.659498e-08	0
0.500000	2532.432432	1	-0.301466	-0.333199	4.923105e-08	2
0.500000	2800.000000	0	-1.348664	-0.555332	7.909387e-08	2
0.500000	3077.477477	0	0.840931	0.650532	-8.926356e-08	0
0.500000	1179.729730	1	-0.142800	0.904398	-1.178778e-07	2
0.500000	679.279279	0	0.872665	0.999598	-1.265398e-07	1
0.500000	2254.954955	0	-0.301466	-1.031331	1.293910e-07	1
0.500000	1244.144144	0	-1.253464	-0.237999	3.432866e-08	0
0.500000	1150.000000	0	-0.713998	-1.316930	1.471521e-07	1
0.500000	1734.684685	0	-1.412130	-0.206266	2.928381e-08	0
0.500000	1303.603604	1	-1.063064	1.539063	-1.505576e-07	2
0.500000	877.477477	1	-0.491866	-0.936131	1.222679e-07	0
0.500000	2750.450450	0	-0.364932	-0.904398	1.193250e-07	0
0.500000	1581.081081	0	-0.682265	0.364932	-5.478921e-08	0
0.500000	1214.414414	1	-1.158264	0.967864	-1.245264e-07	0
0.500000	1402.702703	0	0.967864	0.364932	-5.406560e-08	0
0.500000	2517.567568	0	-1.443863	-0.523599	7.669849e-08	0
0.500000	1164.864865	0	1.063064	-1.063064	1.319116e-07	2
0.500000	2185.585586	1	-1.348664	0.745732	-1.011834e-07	1
0.500000	1789.189189	1	-0.111066	0.682265	-9.608039e-08	0
0.500000	1244.144144	1	-0.142800	-1.189997	1.404311e-07	2
0.500000	3354.954955	1	0.079333	0.174533	-2.796682e-08	0
0.500000	2190.540541	1	-1.475597	-0.713998	9.711353e-08	0
0.500000	2443.243243	0	0.999598	-0.872665	1.165449e-07	0
0.500000	2339.189189	1	1.126531	1.539063	-1.491506e-07	2
0.500000	2121.171171	0	0.587065	0.396666	-5.669549e-08	0
0.500000	1159.909910	1	1.126531	-1.348664	1.479728e-07	2
0.500000	1214.414414	1	-1.475597	0.491866	-7.269996e-08	0
0.500000	2844.594595	0	1.063064	-0.618799	8.864673e-08	0
0.500000	1739.639640	0	0.777465	-1.412130	1.488294e-07	2
0.500000	1055.855856	0	0.428399	0.206266	-3.002753e-08	0
0.500000	822.972973	1	0.650532	1.221730	-1.398986e-07	2
0.500000	3151.801802	0	-1.189997	-0.650532	9.258015e-08	0
0.500000	2071.621622	0	-1.189997	-0.967864	1.227374e-07	0
0.500000	3052.702703	0	1.316930	-0.650532	9.075100e-08	2
0.500000	1472.072072	0	0.460132	1.063064	-1.321930e-07	0
0.500000	1630.630631	1	1.348664	0.904398	-1.187622e-07	0
0.500000	1908.108108	0	0.936131	-0.523599	7.607538e-08	0
0.500000	1615.765766	0	0.777465	-0.333199	5.065818e-08	0
0.500000	1229.279279	1	-1.221730	-0.999598	1.263187e-07	2
0.500000	748.648649	1	-0.237999	1.539063	-1.499948e-07	2
0.500000	1481.981982	1	1.126531	-0.650532	9.219824e-08	0
