axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angleXY(rads) 	 angleZ(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
3141592.653589793	500.9009009009009	3	-0.015866629563584755	-0.3966657390896202	1.6984924623115577e-09	2
3141592.653589793	1472.0720720720722	2	-0.333199220835281	-0.3649324799624507	2.3115577889447236e-10	1
3141592.653589793	1368.018018018018	2	-1.1582639581416914	-0.7139983303613165	-6.13065326633166e-10	0
3141592.653589793	1318.4684684684685	3	-0.9995976625058433	0.11106640694509373	-1.4371859296482414e-09	2
3141592.653589793	3468.9189189189187	2	0.11106640694509373	1.475596549413388	3.015075376884433e-11	0
3141592.653589793	1115.3153153153153	2	1.4121300311590486	-0.23799944345377222	6.934673366834171e-10	1
3141592.653589793	2423.4234234234236	1	1.1582639581416916	-0.46013225734395946	-2e-09	2
3141592.653589793	3057.6576576576576	1	-1.0313309216330129	1.443863290286218	1.3567839195979898e-09	0
3141592.653589793	1214.4144144144145	2	-0.333199220835281	-0.4918655164711292	-7.537688442211055e-10	1
3141592.653589793	2681.0810810810813	3	-0.6505318121069773	-0.2062661843266025	-1.5979899497487439e-09	0
3141592.653589793	2403.6036036036035	2	-0.9995976625058433	0.7139983303613167	1.2964824120603016e-09	1
3141592.653589793	1521.6216216216217	2	1.2217304763960306	-0.333199220835281	9.949748743718591e-10	0
3141592.653589793	1026.126126126126	1	-0.9043978851243344	-1.0947974398873521	-5.125628140703517e-10	0
3141592.653589793	2889.189189189189	1	-0.6505318121069773	0.9043978851243346	1.9798994974874372e-09	0
3141592.653589793	1006.3063063063063	1	1.3169302537775396	-1.4755965494133876	-1.7386934673366834e-09	0
3141592.653589793	1313.5135135135135	1	1.28519699465037	-0.2062661843266025	6.733668341708542e-10	1
3141592.653589793	2269.8198198198197	3	0.8409313668699951	-1.5073298085405573	-6.934673366834171e-10	1
3141592.653589793	808.1081081081081	3	0.23799944345377222	1.5707963267948966	1.9195979899497486e-09	2
3141592.653589793	931.981981981982	2	-0.7774648486156558	0.11106640694509373	9.14572864321608e-10	1
3141592.653589793	2591.891891891892	2	0.6187985529798077	1.475596549413388	7.939698492462311e-10	2
3141592.653589793	1962.6126126126126	3	0.9995976625058436	1.5073298085405575	6.733668341708542e-10	2
3141592.653589793	2383.7837837837837	1	0.8091981077428256	-0.5553320347254684	-1.8391959798994977e-09	0
3141592.653589793	2973.4234234234236	3	-0.30146596170811146	1.2534637355232006	-7.939698492462313e-10	0
3141592.653589793	1695.045045045045	2	1.475596549413388	-1.2534637355232003	9.547738693467338e-10	0
3141592.653589793	2800.0	2	-0.7774648486156558	-1.348663512904709	1.9396984924623115e-09	1
3141592.653589793	1541.4414414414414	1	-0.7139983303613165	1.475596549413388	7.336683417085429e-10	2
3141592.653589793	713.9639639639639	3	0.3331992208352812	-0.30146596170811146	-1.1758793969849247e-09	2
3141592.653589793	1288.7387387387387	3	0.9361311442515041	0.7774648486156561	1.6582914572864323e-09	0
3141592.653589793	1700.0	2	-0.6822650712341469	-1.1582639581416914	1.5376884422110554e-09	2
3141592.653589793	2631.5315315315315	1	0.5235987755982991	0.04759988869075449	-1.9798994974874372e-09	2
3141592.653589793	3151.801801801802	1	0.26973270258094195	-0.5235987755982987	-1.798994974874372e-09	1
3141592.653589793	1893.2432432432433	2	-0.7457315894884862	0.26973270258094195	2e-09	1
3141592.653589793	813.063063063063	1	1.443863290286218	1.0947974398873521	-1.708542713567839e-10	1
3141592.653589793	1729.7297297297298	3	0.9043978851243346	-0.30146596170811146	-1.798994974874372e-09	2
3141592.653589793	570.2702702702703	2	0.14279966607226346	0.8726646259971647	-1.1758793969849247e-09	0
3141592.653589793	2299.5495495495497	2	-1.0313309216330129	-1.4755965494133876	-4.522613065326633e-10	2
3141592.653589793	2641.4414414414414	1	1.5707963267948966	0.8409313668699951	-8.341708542713569e-10	0
3141592.653589793	1224.3243243243244	3	-0.333199220835281	0.9043978851243346	1.708542713567837e-10	0
3141592.653589793	2690.990990990991	2	-1.2217304763960306	-0.9995976625058433	-6.733668341708544e-10	1
3141592.653589793	709.009009009009	3	-0.6505318121069773	0.2062661843266027	9.748743718592967e-10	1
3141592.653589793	1744.5945945945946	3	1.2534637355232006	1.0947974398873521	-5.125628140703517e-10	2
3141592.653589793	1838.7387387387387	1	-1.5707963267948966	-0.6822650712341469	3.115577889447235e-10	0
3141592.653589793	1789.1891891891892	3	-1.348663512904709	-1.189997217268861	9.547738693467338e-10	1
3141592.653589793	3027.927927927928	2	0.7457315894884862	0.5235987755982991	-9.346733668341709e-10	2
3141592.653589793	1159.9099099099099	2	1.539063067667727	-1.1582639581416914	-9.145728643216082e-10	2
