axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1197.897897897898	2	0.4725383543122854	7.342000563700544e-10	0
6283185.307179586	1037.887887887888	2	0.5455831239904425	1.352846540158624e-10	2
6283185.307179586	1921.4214214214214	3	-0.09576254413620378	-3.946760991292701e-10	1
6283185.307179586	620.4704704704704	3	-0.633086116351802	1.2795717069843819e-09	1
6283185.307179586	843.0930930930931	2	-0.5919081762551557	8.975095069609172e-10	0
6283185.307179586	1003.1031031031031	1	-0.0871776337209329	-1.5193841550389968e-13	2
6283185.307179586	724.8248248248249	1	-0.992976348143348	1.7216233592710779e-09	0
6283185.307179586	4161.561561561562	2	-1.1573690625348545	3.4626212851605347e-10	2
6283185.307179586	1573.5735735735736	3	0.15309667881504718	-6.698253777691611e-10	0
6283185.307179586	1650.1001001001002	1	0.3288176026935872	-1.5751416802083139e-12	2
6283185.307179586	1726.6266266266266	3	-0.9531764186916849	-1.3916435375431983e-09	0
6283185.307179586	2971.921921921922	3	0.2312731801347292	-4.2775467845489823e-10	0
6283185.307179586	474.3743743743744	2	0.24343982090838656	-1.4098086441398814e-09	0
6283185.307179586	1010.0600600600601	1	-1.1066170504851311	1.3050067188323908e-09	0
6283185.307179586	3472.822822822823	1	-0.6042230592192966	-2.042290667318998e-10	2
6283185.307179586	1573.5735735735736	3	-1.1383551714883255	-1.8439314701533897e-09	0
6283185.307179586	2436.2362362362364	1	0.9356024852934808	-1.0049385964235858e-09	0
6283185.307179586	1670.970970970971	1	1.3979701330365728	-1.426410283952838e-09	2
6283185.307179586	2540.5905905905906	2	-1.1074522004583214	-3.51376980711778e-11	1
6283185.307179586	606.5565565565565	3	1.292068825765047	-1.431152026375049e-09	2
6283185.307179586	3048.4484484484487	2	-1.1479833938104893	-7.514066502812137e-10	1
6283185.307179586	3138.888888888889	3	-0.5398413156309889	1.371412034914161e-09	0
6283185.307179586	536.986986986987	2	0.7186027674499376	-1.5358860106346133e-09	0
6283185.307179586	2039.6896896896897	3	1.1032115136149883	1.6621394086734234e-09	0
6283185.307179586	2756.256256256256	1	1.038764088256475	-9.418685002133974e-10	0
6283185.307179586	1295.2952952952953	3	0.9424264581648729	-1.3423878086651643e-09	0
6283185.307179586	2324.924924924925	1	-0.5725443155278866	1.9385441019333964e-09	0
6283185.307179586	1504.004004004004	3	0.043753432094982836	2.033149286348865e-10	1
6283185.307179586	1754.4544544544544	2	-0.6838847189060815	1.8890416364589202e-09	0
6283185.307179586	2053.603603603604	1	1.0235662750702463	-1.340938390960219e-09	0
6283185.307179586	2394.4944944944946	1	0.03607455370705437	1.7557602304716006e-11	2
6283185.307179586	1413.5635635635635	2	1.0731212049909153	1.947769514616413e-09	0
6283185.307179586	1949.2492492492493	2	-1.265067082256694	1.1361751333201521e-09	1
6283185.307179586	2137.087087087087	2	-0.9342466674431218	-5.903069634162145e-10	1
6283185.307179586	1260.5105105105106	1	-1.2914757145567257	1.4442127002495694e-09	2
6283185.307179586	2644.944944944945	1	-1.102625972684611	1.920427842017528e-09	0
6283185.307179586	2178.828828828829	3	-0.4320657776946293	1.3164963682571283e-09	0
6283185.307179586	2450.1501501501502	3	-1.358101080119091	1.856635656470997e-10	2
6283185.307179586	1135.2852852852852	2	-0.3013164644537527	-4.0676645058027706e-11	2
6283185.307179586	1156.1561561561562	3	1.326443035763516	1.0773308431996315e-09	2
6283185.307179586	857.007007007007	3	-1.5170245980482533	-4.678338930732622e-10	2
6283185.307179586	432.63263263263264	1	1.380540883760931	-2.52944007100574e-11	2
6283185.307179586	2220.5705705705705	1	1.1938817612068995	-5.484516552855681e-10	2
6283185.307179586	1740.5405405405406	3	-0.9144964670223185	1.8122823154581257e-09	0
6283185.307179586	2582.3323323323325	3	-0.035250678692743564	1.4765582635476666e-09	0
6283185.307179586	2373.6236236236236	1	-1.210836407596598	-9.875933408105167e-10	2
6283185.307179586	703.9539539539539	3	-0.1684544821090319	-1.7980779457636276e-09	0
6283185.307179586	1462.2622622622623	2	-0.7870248351576644	-2.5788827372308014e-10	2
6283185.307179586	1170.0700700700702	3	1.1599051319483005	-1.1373992755276461e-10	2
6283185.307179586	2443.193193193193	1	1.5669625543310128	-9.19975642688327e-10	2
6283185.307179586	585.6856856856857	1	1.5458174698200118	-6.883459224561609e-10	2
6283185.307179586	1935.3353353353355	3	0.5375885390673867	1.4185376535293712e-09	0
6283185.307179586	683.0830830830831	2	0.1295283521867967	1.9936580716210637e-09	0
6283185.307179586	1295.2952952952953	2	1.436559530593211	5.912105747271353e-10	1
6283185.307179586	877.877877877878	3	-1.5558377085796864	1.5959531390822257e-10	2
6283185.307179586	1295.2952952952953	2	-1.5393207586152657	9.819155464925727e-11	1
6283185.307179586	2596.2462462462463	3	1.0070360468384805	-3.838135940591041e-10	2
6283185.307179586	244.7947947947948	1	-0.13394621751206137	6.526584671889931e-10	0
6283185.307179586	1504.004004004004	3	0.9005462354369098	-1.875648344313311e-09	0
6283185.307179586	1267.4674674674675	1	0.5818920372542871	-1.2860762252902964e-10	2
6283185.307179586	1566.6166166166167	1	-0.23789941761994005	4.45577050295358e-10	0
6283185.307179586	3229.3293293293295	2	-0.1269021848691887	-9.838264314951996e-11	1
6283185.307179586	1413.5635635635635	1	0.8879438472394674	-1.8715034363391555e-09	0
6283185.307179586	4098.94894894895	1	1.3932829602538277	1.948670636008332e-09	1
6283185.307179586	2916.2662662662665	3	0.8002373284235413	3.643398301307858e-10	2
6283185.307179586	1343.993993993994	2	-0.45601240352595473	5.736329583025619e-10	1
6283185.307179586	3389.3393393393394	2	0.9318737602575458	-6.130194006069351e-10	1
6283185.307179586	1072.6726726726727	2	0.5802297184048859	-9.895437555288999e-10	0
6283185.307179586	1650.1001001001002	3	1.5091634399595604	1.2049136488500532e-09	2
6283185.307179586	2519.7197197197197	3	0.22445353898067144	3.5573086762796893e-10	2
