axial trapping frequency (MHz) 	 velocity(m/s) 	 ion collided with 	 angle(rads) 	 collision offset(m) 	 reorder? (1 is reorder 2 is ejection) 
6283185.307179586	1476.176176176176	2	-0.5389099712461349	2.620929551750768e-11	1
6283185.307179586	1225.7257257257259	1	-0.3919835188164338	-1.177629845832641e-10	1
6283185.307179586	1086.5865865865867	1	1.1378186853645027	1.8746188251350194e-09	0
6283185.307179586	2450.1501501501502	2	0.08692887028681229	-5.234659611144297e-10	0
6283185.307179586	794.3943943943945	2	1.2090687916759584	9.66806914414318e-11	2
6283185.307179586	2373.6236236236236	3	-0.9867118343944188	1.5882156384483657e-09	0
6283185.307179586	1253.5535535535537	3	-0.5614798723572885	-2.0097336678516927e-10	2
6283185.307179586	2874.5245245245246	3	1.1276138695168454	5.199187012604557e-10	2
6283185.307179586	2519.7197197197197	3	0.7988601749565634	-9.321087267483769e-11	1
6283185.307179586	2144.0440440440443	1	-0.22663229533452012	-1.3453469426767694e-09	0
6283185.307179586	1782.2822822822823	2	-0.07100142521676567	1.6045568118210379e-09	0
6283185.307179586	1093.5435435435436	3	0.34375248808889536	1.582065748486128e-09	0
6283185.307179586	1100.5005005005005	3	0.8828378407914119	1.8543888614462733e-10	1
6283185.307179586	2686.6866866866867	3	1.200941516025225	1.037851967469049e-09	1
6283185.307179586	3368.4684684684685	1	-1.3230193548929976	-7.280072267646411e-10	2
6283185.307179586	1427.4774774774776	2	-0.9100187176291902	9.31846938853726e-10	0
6283185.307179586	1775.3253253253254	3	1.0037906786920243	4.485919737364483e-11	2
6283185.307179586	3222.3723723723724	2	-0.7532334354389439	1.110121570439826e-09	0
6283185.307179586	3041.4914914914916	2	1.537905356942411	-2.8620932175079483e-10	2
6283185.307179586	425.6756756756757	1	-0.18998802749141785	1.8091055914156313e-09	0
6283185.307179586	2192.742742742743	1	0.585448052823871	-1.85690483961604e-09	0
6283185.307179586	1142.2422422422424	3	-0.3600143754631635	-1.6626175883532933e-09	0
6283185.307179586	2540.5905905905906	1	-1.165742375695214	2.0295633723980223e-10	1
6283185.307179586	509.1591591591592	3	-0.19524106168042765	-1.8477919498304229e-09	0
6283185.307179586	662.2122122122122	1	0.4718566573797207	1.1888727543592603e-09	0
6283185.307179586	4098.94894894895	2	0.260837244617107	-1.417346863836893e-09	0
6283185.307179586	2631.031031031031	2	0.5201657256618675	1.8612681432311814e-10	1
6283185.307179586	1232.6826826826828	1	-1.0799237779773707	2.0649047875075322e-10	2
6283185.307179586	2345.795795795796	1	-1.3625875825409433	-1.6135043200534264e-09	2
6283185.307179586	1747.4974974974975	3	-0.3094343938086448	-1.91697405406931e-09	0
6283185.307179586	1364.864864864865	3	-0.6864833951300172	-3.444653364469876e-10	2
6283185.307179586	1615.3153153153153	3	0.18386354829062768	9.814596451259854e-10	0
6283185.307179586	3048.4484484484487	1	-0.06645567024707821	-1.4912177586570624e-09	0
6283185.307179586	3598.0480480480483	1	-0.7745249957787583	-8.100493798080387e-10	0
6283185.307179586	2408.4084084084084	2	-0.29738935928681265	7.411840458248114e-10	0
6283185.307179586	1441.3913913913914	3	-1.1444057267914525	-4.715425941648093e-10	2
6283185.307179586	2074.474474474475	2	-0.8368591227717087	-1.8733623005793653e-09	0
6283185.307179586	2192.742742742743	1	-0.23349813584987844	8.997599814201559e-10	0
6283185.307179586	1330.08008008008	2	-0.7225336936774004	-1.1234896135733139e-09	0
6283185.307179586	2846.6966966966966	3	-0.23298250763860762	-3.8261619401220425e-10	1
6283185.307179586	2617.1171171171172	1	0.0352056131033891	-3.9834218544960555e-10	1
6283185.307179586	1733.5835835835837	3	1.1029499582040514	-6.926049050407367e-11	1
6283185.307179586	1684.884884884885	3	0.9763427164608833	1.3133708082154915e-09	0
6283185.307179586	912.6626626626627	3	1.4598766220781667	-7.25043392886133e-11	1
6283185.307179586	2477.977977977978	2	0.14234816199810818	-1.4910695849484236e-09	0
6283185.307179586	696.996996996997	1	1.1486711884329441	1.5188453213469716e-09	0
6283185.307179586	1844.8948948948948	2	0.43023011983369397	-6.866839144908477e-11	2
6283185.307179586	1997.947947947948	1	1.159197903943646	8.971569261713734e-10	1
6283185.307179586	2582.3323323323325	2	1.326626535767903	-3.880951493518023e-10	2
6283185.307179586	1281.3813813813815	2	-1.255671315518433	-9.770484089081483e-10	1
6283185.307179586	2471.021021021021	3	0.8935089677119308	1.239802563475837e-09	0
6283185.307179586	1768.3683683683685	1	0.8121005396939704	1.3824504596864505e-09	0
6283185.307179586	1030.930930930931	1	-0.6941774372637946	-3.1966076254752685e-10	1
6283185.307179586	1990.9909909909911	2	-0.12574762559814134	6.590550144493589e-10	0
6283185.307179586	1956.2062062062062	1	0.02764094266802486	6.256637893030298e-10	0
6283185.307179586	1601.4014014014015	1	0.26779184988186633	-1.2329151317285444e-09	0
6283185.307179586	1824.0240240240241	3	1.0220707146617354	-1.9590696904413038e-09	0
6283185.307179586	1490.0900900900901	2	0.9573052251891121	1.3759203021267414e-09	0
6283185.307179586	954.4044044044044	2	-1.3871814639922224	-3.7994369529320125e-10	1
6283185.307179586	2554.5045045045044	2	0.38430136040151175	1.1142174170878064e-09	0
6283185.307179586	1357.9079079079079	1	-0.04701695095842329	-4.5247972245400755e-10	1
6283185.307179586	2937.1371371371374	2	-0.011161487237286272	1.39536727169391e-09	0
6283185.307179586	829.1791791791792	2	1.455852459519884	6.620859532274578e-10	2
6283185.307179586	2046.6466466466468	1	0.6800285766157366	-1.6133133369067855e-09	0
6283185.307179586	3312.812812812813	2	1.0013000929560456	-1.3818280060539926e-09	0
6283185.307179586	1789.2392392392394	2	0.4038271418141144	-8.203439616861328e-10	0
6283185.307179586	2304.054054054054	2	-1.186429514413256	-4.3610645326482394e-10	2
6283185.307179586	1072.6726726726727	3	-0.7714613072258717	-1.18915102563547e-09	0
6283185.307179586	1434.4344344344345	1	-0.5637854455126972	-5.70186224435298e-10	2
6283185.307179586	2512.762762762763	1	0.6497446033060532	-4.3167352595349224e-10	2
6283185.307179586	3577.1771771771773	2	-0.48841373634518304	8.219334357126045e-10	0
6283185.307179586	1357.9079079079079	2	-0.79064731473473	-2.1040392642165053e-11	2
6283185.307179586	1747.4974974974975	1	1.5163682341971234	8.951941288433179e-10	2
6283185.307179586	2304.054054054054	2	1.0250198813630211	-8.03892361288499e-10	1
6283185.307179586	1218.7687687687687	3	0.03381604943129424	1.0684582588715552e-09	0
6283185.307179586	1490.0900900900901	1	1.2105743743266357	-2.643188638604714e-10	2
6283185.307179586	1183.983983983984	2	0.91403056537083	-9.581125913159516e-10	0
