timestep,r_collision,z_collision,vr_collision,vz_collision
0,-4.7584325083879877e-07,1.978305946346927e-05,75.75163221513105,-2386.3355135788324
1,-4.757674992065836e-07,1.9780673127955692e-05,75.75163221513105,-2386.3355135788324
2,-4.7569174757436847e-07,1.9778286792442113e-05,75.75163221513105,-2386.3355135788324
3,-4.756159959421533e-07,1.9775900456928533e-05,75.75163221513105,-2386.3355135788324
4,-4.7554024430993816e-07,1.9773514121414954e-05,75.75163221513105,-2386.3355135788324
5,-4.75464492677723e-07,1.9771127785901375e-05,75.75163221513105,-2386.3355135788324
6,-4.7538874104550786e-07,1.9768741450387796e-05,75.75163221513105,-2386.3355135788324
7,-4.753129894132927e-07,1.9766355114874217e-05,75.75163221513105,-2386.3355135788324
8,-4.7523723778107756e-07,1.9763968779360637e-05,75.75163221513105,-2386.3355135788324
9,-4.751614861488624e-07,1.9761582443847058e-05,75.75163221513105,-2386.3355135788324
10,-4.7508573451664725e-07,1.975919610833348e-05,75.75163221513105,-2386.3355135788324
11,-4.750099828844321e-07,1.97568097728199e-05,75.75163221513105,-2386.3355135788324
12,-4.7493423125221695e-07,1.975442343730632e-05,75.75163221513105,-2386.3355135788324
13,-4.748584796200018e-07,1.975203710179274e-05,75.75163221513105,-2386.3355135788324
14,-4.7478272798778665e-07,1.9749650766279162e-05,75.75163221513105,-2386.3355135788324
15,-4.747069763555715e-07,1.9747264430765583e-05,75.75163221513105,-2386.3355135788324
16,-4.7463122472335635e-07,1.9744878095252004e-05,75.75163221513105,-2386.3355135788324
17,-4.745554730911412e-07,1.9742491759738424e-05,75.75163221513105,-2386.3355135788324
18,-4.7447972145892604e-07,1.9740105424224845e-05,75.75163221513105,-2386.3355135788324
19,-4.744039698267109e-07,1.9737719088711266e-05,75.75163221513105,-2386.3355135788324
20,-4.7432821819449574e-07,1.9735332753197687e-05,75.75163221513105,-2386.3355135788324
21,-4.742524665622806e-07,1.9732946417684108e-05,75.75163221513105,-2386.3355135788324
22,-4.7417671493006544e-07,1.973056008217053e-05,75.75163221513105,-2386.3355135788324
23,-4.741009632978503e-07,1.972817374665695e-05,75.75163221513105,-2386.3355135788324
24,-4.7402521166563513e-07,1.972578741114337e-05,75.75163221513105,-2386.3355135788324
25,-4.7394946003342e-07,1.972340107562979e-05,75.75163221513105,-2386.3355135788324
26,-4.7387370840120483e-07,1.972101474011621e-05,75.75163221513105,-2386.3355135788324
27,-4.737979567689897e-07,1.9718628404602632e-05,75.75163221513105,-2386.3355135788324
28,-4.7372220513677453e-07,1.9716242069089053e-05,75.75163221513105,-2386.3355135788324
29,-4.736464535045594e-07,1.9713855733575474e-05,75.75163221513105,-2386.3355135788324
30,-4.735707018723442e-07,1.9711469398061895e-05,75.75163221513105,-2386.3355135788324
31,-4.7349495024012907e-07,1.9709083062548315e-05,75.75163221513105,-2386.3355135788324
32,-4.734191986079139e-07,1.9706696727034736e-05,75.75163221513105,-2386.3355135788324
