timestep,ion,r,z,vr,vz,Erfi_before,Ezfi_before,Erfi_after,Ezfi_after
0,0,-1.266811e-33,4.792586e-06,-1.266811e-21,-1.710833e-06,0.0,-0.7142728,-5.288937e-16,-0.7142728
0,1,-4.180603e-34,-8.035092e-20,-4.180603e-22,1.513931e-17,0.0,6.288303e-12,-1.745402e-16,6.320664e-12
0,2,-1.756348e-34,-4.792586e-06,-1.756348e-22,1.710833e-06,0.0,0.7142728,-7.332755e-17,0.7142728
1,0,-3.801038e-33,4.792586e-06,-2.534226e-21,-3.421666e-06,-1.286952e-26,-0.7142728,-5.291457e-16,-0.7142728
1,1,-1.254316e-33,-8.035092e-20,-8.362552e-22,3.026162e-17,7.920761e-27,6.281198e-12,-1.745964e-16,6.313564e-12
1,2,-5.269446e-34,-4.792586e-06,-3.513097e-22,3.421666e-06,4.948764e-27,0.7142728,-7.334427e-17,0.7142728
2,0,-7.600073e-33,4.792586e-06,-3.799036e-21,-5.132499e-06,-3.861562e-26,-0.7142728,-5.280579e-16,-0.7142728
2,1,-2.507842e-33,-8.035092e-20,-1.253526e-21,4.538396e-17,2.376717e-26,6.281198e-12,-1.742106e-16,6.313575e-12
2,2,-1.053525e-33,-4.792586e-06,-5.2658e-22,5.132499e-06,1.484845e-26,0.7142728,-7.317533e-17,0.7142728
3,0,-1.266452e-32,4.792586e-06,-5.064448e-21,-6.843333e-06,-7.721272e-26,-0.7142728,-5.283096e-16,-0.7142728
3,1,-4.178773e-33,-8.035092e-20,-1.670932e-21,6.048929e-17,4.752405e-26,6.274092e-12,-1.742667e-16,6.306475e-12
3,2,-1.755415e-33,-4.792586e-06,-7.018902e-22,6.843333e-06,2.968867e-26,0.7142728,-7.319202e-17,0.7142728
4,0,-1.899498e-32,4.792586e-06,-6.330463e-21,-8.554166e-06,-1.286679e-25,-0.7142728,-5.285613e-16,-0.7142728
4,1,-6.267245e-33,-8.035092e-20,-2.088471e-21,7.561165e-17,7.919628e-26,6.281198e-12,-1.743229e-16,6.313586e-12
4,2,-2.632655e-33,-4.792586e-06,-8.772404e-22,8.554166e-06,4.947159e-26,0.7142728,-7.320871e-17,0.7142728
5,0,-2.659207e-32,4.792586e-06,-7.597082e-21,-1.0265e-05,-1.929881e-25,-0.7142728,-5.288133e-16,-0.7142728
5,1,-8.773391e-33,-8.035092e-20,-2.506146e-21,9.076807e-17,1.187887e-25,6.295409e-12,-1.743791e-16,6.327808e-12
5,2,-3.685286e-33,-4.792586e-06,-1.052631e-21,1.0265e-05,7.419936e-26,0.7142728,-7.322541e-17,0.7142728
6,0,-3.545637e-32,4.792586e-06,-8.864304e-21,-1.197583e-05,-2.701805e-25,-0.7142728,-5.290654e-16,-0.7142728
6,1,-1.169735e-32,-8.035092e-20,-2.923955e-21,1.059075e-16,1.663063e-25,6.288303e-12,-1.744353e-16,6.320708e-12
6,2,-4.913347e-33,-4.792586e-06,-1.228061e-21,1.197583e-05,1.038741e-25,0.7142728,-7.324211e-17,0.7142728
7,0,-4.55885e-32,4.792586e-06,-1.013213e-20,-1.368667e-05,-3.60252e-25,-0.7142728,-5.293177e-16,-0.7142728
7,1,-1.503924e-32,-8.035092e-20,-3.341899e-21,1.210129e-16,2.21754e-25,6.274092e-12,-1.744915e-16,6.306502e-12
7,2,-6.316878e-33,-4.792586e-06,-1.403531e-21,1.368667e-05,1.384981e-25,0.7142728,-7.325882e-17,0.7142728
8,0,-5.698906e-32,4.792586e-06,-1.140056e-20,-1.53975e-05,-4.632098e-25,-0.7142728,-5.295701e-16,-0.7142728
8,1,-1.879922e-32,-8.035092e-20,-3.759977e-21,1.361183e-16,2.851365e-25,6.274092e-12,-1.745478e-16,6.306513e-12
